"Job.Titles","Department","Annual.Salary"
"DETENTION AIDE","POLICE",74844
"CLERK III","POLICE",64620
"WARD SUPERINTENDENT","STREETS & SAN",81552
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",126504
"FIRE ENGINEER-EMT","FIRE",118830
"PAYMENT SERVICES REPRESENTATIVE","CITY CLERK",70860
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",106170
"ASST CORPORATION COUNSEL III","LAW",101628
"DEPUTY COMMISSIONER","HOUSING",125088
"SERGEANT","POLICE",126504
"FIREFIGHTER/PARAMEDIC","FIRE",108444
"POLICE OFFICER","POLICE",106170
"EXEC ADMINISTRATIVE ASST I","FINANCE",63972
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"TRAFFIC ENFORCEMENT TECH","FINANCE",34992
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",54324
"MANAGING DEPUTY COMMISSIONER","STREETS & SAN",155712
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE TECHNICIAN","POLICE",107490
"AVIATION SECURITY OFFICER","AVIATION",61308
"PROJECT MANAGER - AIS","DAIS",83208
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"LIBRARIAN IV","PUBLIC LIBRARY",97080
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",111492
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"ADMINISTRATIVE ASST III","FIRE",55620
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",122568
"EXPLOSIVES TECHNICIAN I","POLICE",126504
"FIREFIGHTER-EMT","FIRE",102372
"TRAINING & DEVELOPMENT ANALYST","HUMAN RESOURCES",102576
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"BUILDING/CONSTRUCTION INSPECTOR","HEALTH",135684
"POLICE COMMUNICATIONS OPERATOR II","OEMC",90036
"LIEUTENANT-EMT","FIRE",130908
"FIRE ENGINEER","FIRE",112020
"LIEUTENANT-EMT","FIRE",135144
"SERGEANT","POLICE",130596
"ASST CORPORATION COUNSEL I","LAW",66924
"EDITORIAL ASST","CITY CLERK",50688
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",92688
"ADMINISTRATIVE SERVICES OFFICER II","COPA",80652
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"AVIATION SECURITY OFFICER","AVIATION",68196
"LIBRARIAN I","PUBLIC LIBRARY",62712
"CHIEF PROGRAMMER/ANALYST","DAIS",142176
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE COMMUNICATIONS OPERATOR II","OEMC",78384
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"SERGEANT","POLICE",126504
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"POLICE OFFICER","POLICE",109236
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"COMMUNICATIONS OPERATOR I - 311","OEMC",67668
"PROPERTY CUSTODIAN - AUTO POUND","STREETS & SAN",55620
"POLICE OFFICER","POLICE",95586
"SENIOR DATA ENTRY OPERATOR","HEALTH",70860
"POLICE OFFICER","POLICE",98940
"SUPERINTENDENT OF PAVEMENT REPAIRS","TRANSPORTN",121404
"LIBRARIAN I","PUBLIC LIBRARY",62712
"POLICE OFFICER","POLICE",106170
"SUPERVISING AIR MASK TECHNICIAN","FIRE",118068
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",107490
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"PARAMEDIC I/C","FIRE",104430
"PARAMEDIC","FIRE",93252
"FIRE ENGINEER","FIRE",112020
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT","FIRE",98904
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"LIBRARIAN II","PUBLIC LIBRARY",69180
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",90990
"LIEUTENANT-EMT","FIRE",130908
"SERGEANT","POLICE",126504
"INFORMATION COORD","HOUSING & ECON DEV",73332
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",122274
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"AIRPORT OPERATIONS SUPVSR II","AVIATION",123660
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"LIEUTENANT-EMT","FIRE",135144
"PARALEGAL II","LAW",102732
"ASST TO THE CITY TREASURER","TREASURER",97332
"SANITARIAN II","HEALTH",70152
"POLICE OFFICER","POLICE",98940
"FIRE ENGINEER-EMT","FIRE",114654
"PROJECT MANAGER","PUBLIC SAFETY ADMIN",106668
"FIRE ENGINEER","FIRE",108096
"SERGEANT","POLICE",130596
"PERSONAL COMPUTER OPERATOR II","CITY CLERK",64620
"FIREFIGHTER-EMT","FIRE",105936
"LIEUTENANT-EMT","FIRE",135144
"ASST CORPORATION COUNSEL II","LAW",74868
"INVESTIGATOR-COPA","COPA",102516
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",95586
"SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES","OEMC",103920
"CAPTAIN-PARAMEDIC","FIRE",155358
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"AMBULANCE COMMANDER","FIRE",134736
"POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST)","POLICE",126504
"AMBULANCE COMMANDER","FIRE",143076
"POLICE OFFICER","POLICE",109236
"FIRE ENGINEER-EMT","FIRE",114654
"CAPTAIN-EMT","FIRE",147258
"WATER CHEMIST II","WATER MGMNT",93780
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"ASST SUPVSR OF DATA ENTRY OPERATORS","PUBLIC LIBRARY",70704
"FIREFIGHTER-EMT","FIRE",94152
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"COMMUNICATIONS OPERATOR II - 311","OEMC",77772
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",77772
"PARKING ENFORCEMENT AIDE","FINANCE",46416
"SR PROCUREMENT SPECIALIST","PROCUREMENT",81552
"ASST DIVISION SUPERINTENDENT","STREETS & SAN",103920
"POLICE OFFICER","POLICE",95586
"WARD SUPERINTENDENT","STREETS & SAN",125088
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",130596
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",115026
"PARAMEDIC I/C","FIRE",104430
"FIREFIGHTER-EMT","FIRE",94152
"REPROGRAPHICS TECHNICIAN III","DAIS",46188
"MANAGING DEPUTY COMPTROLLER","FINANCE",149616
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",106170
"LIEUTENANT","POLICE",146652
"SERGEANT","POLICE",130596
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT","FIRE",98904
"LIEUTENANT-EMT","FIRE",126840
"POLICE OFFICER","POLICE",109236
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",86016
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",109236
"PROJECT MANAGER","FAMILY & SUPPORT",92832
"ADMINISTRATIVE ASST II","ADMIN HEARNG",74280
"POLICE OFFICER","POLICE",102372
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"POLICE OFFICER","POLICE",90990
"WARD SUPERINTENDENT","STREETS & SAN",103920
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",94152
"AVIATION SECURITY OFFICER","AVIATION",94368
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",102372
"POLICE COMMUNICATIONS OPERATOR I","OEMC",61308
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"SENIOR BUSINESS CONSULTANT","BUSINESS AFFAIRS",76992
"PRINTER","DAIS",102732
"PROGRAMMER/ANALYST","DAIS",102516
"ACCOUNTING TECHNICIAN","FINANCE",49176
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",130596
"LIEUTENANT-PARAMEDIC","FIRE",138378
"POLICE OFFICER","POLICE",106170
"EPIDEMIOLOGIST II","HEALTH",111816
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"DETENTION AIDE","POLICE",71436
"SERGEANT","POLICE",130596
"POLICE OFFICER","POLICE",95586
"CONTRACTS ADMINISTRATOR","TRANSPORTN",112128
"POLICE OFFICER","POLICE",102372
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",106170
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"LANGUAGE ACCESS COORDINATOR","POLICE",81552
"FIREFIGHTER-EMT","FIRE",98904
"PROJECTS ADMINISTRATOR","AVIATION",88404
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY OFFICER","AVIATION",61308
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST II","BUSINESS AFFAIRS",70860
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"LIEUTENANT-EMT","FIRE",130908
"FIREFIGHTER","FIRE",108036
"SERGEANT","POLICE",122568
"LIEUTENANT-EMT","FIRE",130908
"PARAMEDIC I/C","FIRE",104430
"POLICE OFFICER","POLICE",95586
"DISTRICT CHIEF","PUBLIC LIBRARY",112608
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"ASST DIR","FINANCE",108816
"FIREFIGHTER-EMT","FIRE",98904
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"COMMANDER","POLICE",175944
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"FIRE ENGINEER-PARAMEDIC","FIRE",121656
"SERGEANT","POLICE",126504
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"FIRE ENGINEER-EMT","FIRE",114654
"SERGEANT","POLICE",130596
"AVIATION SECURITY OFFICER","AVIATION",90036
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",53568
"POLICE OFFICER","POLICE",102372
"PARAMEDIC","FIRE",84612
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"FIREFIGHTER","FIRE",108036
"RECRUITER","HUMAN RESOURCES",122112
"LIEUTENANT","POLICE",146652
"MARINE PILOT - FIRE BOAT","FIRE",117193.92
"SERGEANT","POLICE",122568
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"HOUSE DRAIN INSPECTOR","WATER MGMNT",114138
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"PROGRAM AUDITOR II","HOUSING",59184
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"AMBULANCE COMMANDER","FIRE",138828
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",109236
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"POLICE OFFICER","POLICE",95586
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"COMMISSIONER OF PLANNING & DEVELOPMENT","HOUSING & ECON DEV",194964
"PROCESS SERVER","LAW",55620
"SUPERVISING INVESTIGATOR","FINANCE",99228
"FIREFIGHTER-EMT","FIRE",102372
"ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD","HOUSING & ECON DEV",60876
"ASST SERGEANT AT ARMS","CITY COUNCIL",66936
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"AUDITOR III","HEALTH",111816
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"FIRE ENGINEER-EMT","FIRE",118830
"RISK MANAGER","FINANCE",128856
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",98940
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"POLICE OFFICER","POLICE",109236
"AIRPORT FACILITIES MANAGER","AVIATION",81552
"FIRE COMMUNICATIONS OPERATOR II","OEMC",90240
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"SERGEANT","POLICE",126504
"POLICE COMMUNICATIONS OPERATOR II","OEMC",94368
"COORDINATING PLANNER","HOUSING & ECON DEV",102516
"POLICE OFFICER","POLICE",106170
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER","POLICE",95586
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",115026
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER/PARAMEDIC","FIRE",82656
"POLICY ANALYST","CITY CLERK",116676
"SUPVSR OF ANIMAL CONTROL OFFICERS","ANIMAL CONTRL",94368
"ADMINISTRATIVE ASST III","WATER MGMNT",85344
"LIEUTENANT","FIRE",127410
"POLICE OFFICER","POLICE",95586
"CLINICAL THERAPIST III","HEALTH",111816
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER/PARAMEDIC","FIRE",91872
"SERGEANT","POLICE",126504
"REFUSE COLLECTION COORD","STREETS & SAN",93624
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",67668
"BATTALION CHIEF - EMT","FIRE",161082
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"ASSOCIATE HUMAN RESOURCES BUSINESS PARTNER-EXCLD","WATER MGMNT",58116
"POLICE OFFICER","POLICE",102372
"STAFF ASST","LAW",93660
"LIEUTENANT-EMT","FIRE",135144
"SANITATION CLERK","STREETS & SAN",77736
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"PARAMEDIC I/C","FIRE",101052
"AVIATION SECURITY SERGEANT","AVIATION",75708
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER","FIRE",103914
"POLICE OFFICER","POLICE",86730
"AMBULANCE COMMANDER","FIRE",134736
"BATTALION CHIEF - EMT","FIRE",165858
"INVESTIGATOR-COPA","COPA",97080
"POLICE OFFICER","POLICE",95586
"CAPTAIN-EMT","FIRE",147258
"AVIATION SECURITY OFFICER","AVIATION",78384
"AVIATION SECURITY OFFICER","AVIATION",86016
"IT ENGINEER","HEALTH",109908
"PARAMEDIC","FIRE",88770
"LIBRARIAN III","PUBLIC LIBRARY",102516
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",106170
"LIEUTENANT-EMT","FIRE",130908
"DEPUTY COMMISSIONER","DAIS",142020
"SUPVSR OF PAYMENT CENTER","FINANCE",73332
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",106170
"LIBRARIAN I","PUBLIC LIBRARY",76344
"POLICE OFFICER (ASGND AS MARINE OFFICER)","POLICE",114822
"ASST CORPORATION COUNSEL III","LAW",106440
"TRAFFIC CONTROL AIDE","OEMC",42312
"SENIOR DATA ENTRY OPERATOR","POLICE",70860
"ADMINISTRATIVE ASST II","TRANSPORTN",77772
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"COORD OF HUMAN RELATIONS","FIRE",140976
"BATTALION CHIEF - EMT","FIRE",161082
"PARAMEDIC","FIRE",84612
"AMBULANCE COMMANDER","FIRE",138828
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",95586
"REFUSE COLLECTION COORD","STREETS & SAN",112668
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",106170
"LIEUTENANT-EMT","FIRE",126840
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",74280
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"DISTRICT CLERK","WATER MGMNT",55596
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",106170
"DEPUTY COMMISSIONER","STREETS & SAN",142404
"POLICE OFFICER","POLICE",54672
"DIR / COMMUNITY LIAISON","FAMILY & SUPPORT",69072
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE SERVICES OFFICER I","AVIATION",59184
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",95586
"PARAMEDIC I/C","FIRE",108096
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"COMMANDER","POLICE",175944
"PARAMEDIC","FIRE",93252
"PARAMEDIC","FIRE",103914
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER","FIRE",103914
"FINGERPRINT TECHNICIAN IV","POLICE",84492
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"AVIATION SECURITY OFFICER","AVIATION",68196
"TRAFFIC CONTROL AIDE","OEMC",42312
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"TIMEKEEPER - CPD","PUBLIC SAFETY ADMIN",50688
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",78024
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"POLICE OFFICER","POLICE",95586
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",123660
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"PARAMEDIC","FIRE",62466
"POLICE OFFICER","POLICE",95586
"ADMINISTRATIVE ASST III","STREETS & SAN",85344
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"LIEUTENANT-EMT","FIRE",126840
"PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",90852
"POLICY ANALYST","HEALTH",76572
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",102372
"AMBULANCE COMMANDER","FIRE",143076
"POLICE COMMUNICATIONS OPERATOR II","OEMC",61308
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"ELECTRICAL INSPECTOR","BUILDINGS",110160
"FIRE ENGINEER-EMT","FIRE",114654
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"BATTALION CHIEF - EMT","FIRE",161082
"LIEUTENANT-EMT","FIRE",130908
"CLERK III","STREETS & SAN",64620
"FIRE ENGINEER","FIRE",115308
"AVIATION SECURITY OFFICER","AVIATION",86016
"PARAMEDIC","FIRE",93252
"SERGEANT","POLICE",118836
"LIEUTENANT","FIRE",127410
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"BATTALION CHIEF - EMT","FIRE",165858
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"MANAGING DEPUTY COMMISSIONER","HEALTH",142404
"SANITARY ENGINEER III","WATER MGMNT",84084
"PLUMBING INSPECTOR","BUILDINGS",114138
"PARKING ENFORCEMENT AIDE","FINANCE",56616
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",106170
"PARAMEDIC I/C","FIRE",96246
"FOREMAN OF LINEMEN","PUBLIC SAFETY ADMIN",129063.96
"LIBRARY ASSOCIATE","PUBLIC LIBRARY",77112
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",84054
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",86016
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",103866
"LICENSING ENFORCEMENT AIDE - CITY CLERK","CITY CLERK",58872
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"CIVIL ENGINEER IV","TRANSPORTN",88416
"SERGEANT","POLICE",126504
"TRAFFIC ENGINEER IV","TRANSPORTN",85764
"POLICE OFFICER","POLICE",109236
"SERGEANT","POLICE",126504
"LIEUTENANT","POLICE",142296
"EXPLOSIVES TECHNICIAN I","POLICE",118836
"PROGRAM DIR","HOUSING & ECON DEV",119436
"POLICE OFFICER","POLICE",95586
"DEPUTY COMMISSIONER","FAMILY & SUPPORT",126348
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",103578
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",78024
"FIELD SANITATION INVESTIGATOR","STREETS & SAN",77736
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",54072
"ALDERMAN","CITY COUNCIL",130248
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER","POLICE",90990
"GENERAL FOREMAN OF ELECTRICAL MECHANICS","DAIS",118560
